Server;Apps;PC;DBegin;DEnd;Duration
SRVMV-SOCIAL001;IODAS-Usager;XP18625;21/03/2016 10:44;21/03/2016 12:26;01:42:17
SRVMV-W8NEOT001;Business Objects Designer 6.5;HU31440;21/03/2016 10:41;21/03/2016 11:22;00:41:27
SRVMV-W8NEOT001;Business Objects Designer 6.5;HU31440;21/03/2016 10:40;21/03/2016 10:55;00:14:51
SRVMV-W8NEOT001;Business Objects 6.5;HU31042;21/03/2016 10:39;21/03/2016 11:01;00:21:59
SRVMV-W8NEOT001;Business Objects 6.5;HU31042;21/03/2016 10:32;21/03/2016 10:37;00:04:56
SRVMV-W8NEOT001;Business Objects 6.5;HU31042;21/03/2016 10:27;21/03/2016 10:29;00:01:54
SRVMV-W8NEOT001;Business Objects 6.5;HU31042;21/03/2016 10:27;21/03/2016 10:29;00:02:00
SRVMV-W8NEOT001;Business Objects 6.5;HU31042;21/03/2016 10:27;21/03/2016 10:29;00:02:00
SRVMV-W8NEOT001;Business Objects 6.5;HTML5 Client;21/03/2016 10:26;21/03/2016 10:28;00:02:23
SRVMV-W8NEOT001;Business Objects 6.5;HTML5 Client;21/03/2016 10:24;21/03/2016 10:26;00:01:44
SRVMV-W8NEOT001;Business Objects 6.5;HTML5 Client;21/03/2016 10:23;21/03/2016 10:25;00:01:28
SRVMV-W8NEOT001;Business Objects Supervisor 6.5;HU31042;21/03/2016 10:22;21/03/2016 10:22;00:00:07
SRVMV-SOCIAL001;IODAS-Usager;XP18625;21/03/2016 08:45;21/03/2016 10:37;01:52:14
SRVMV-PDEP001;Abyla PROD;SE29067;18/03/2016 14:08;18/03/2016 14:56;00:48:31
SRVMV-SOCIAL001;IODAS-Usager;XP18625;18/03/2016 13:54;18/03/2016 16:15;02:20:51
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;18/03/2016 13:47;18/03/2016 15:26;01:39:12
SRVMV-PDEP001;Abyla PROD;SE29067;18/03/2016 12:03;18/03/2016 12:35;00:32:02
SRVMV-SOCIAL001;IODAS-Usager;XP18625;18/03/2016 11:55;18/03/2016 12:28;00:32:44
SRVMV-SOCIAL001;IODAS-Usager;XP28201;18/03/2016 11:22;18/03/2016 11:45;00:22:24
SRVMV-SOCIAL001;IODAS-Usager;XP18625;18/03/2016 11:22;18/03/2016 11:43;00:21:09
SRVMV-PDEP001;Abyla PROD;SE29067;18/03/2016 11:00;18/03/2016 11:29;00:28:37
SRVMV-SOCIAL001;IODAS-Usager;XP18625;18/03/2016 09:21;18/03/2016 09:45;00:23:55
SRVMV-SOCIAL001;IODAS-Usager;XP18625;18/03/2016 08:28;18/03/2016 09:04;00:35:44
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;17/03/2016 16:45;17/03/2016 17:00;00:15:00
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;17/03/2016 16:02;17/03/2016 17:00;00:58:44
SRVMV-SOCIAL001;IODAS-Usager;XP18625;17/03/2016 15:53;17/03/2016 17:00;01:07:39
SRVMV-PDEP001;Abyla PROD;HU29781;17/03/2016 15:44;17/03/2016 16:10;00:26:50
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;17/03/2016 15:41;17/03/2016 16:32;00:51:09
SRVMV-SOCIAL001;IODAS-Usager;XP18625;17/03/2016 15:39;17/03/2016 16:02;00:23:01
SRVMV-RCE001;Mar_S;HTML5 Client;17/03/2016 14:43;17/03/2016 15:03;00:19:44
SRVMV-COMMUN001;Putty;HU29397_VM-2;17/03/2016 14:03;17/03/2016 14:03;00:00:10
SRVMV-SOCIAL001;IODAS-Usager;XP18625;17/03/2016 14:01;17/03/2016 15:06;01:05:47
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;17/03/2016 13:38;17/03/2016 15:52;02:14:10
SRVMV-SOCIAL001;IODAS-Usager;XP18625;17/03/2016 10:59;17/03/2016 12:00;01:00:51
SRVMV-PDEP001;Abyla PROD;HU29956;17/03/2016 10:44;17/03/2016 10:49;00:04:43
SRVMV-SOCIAL001;IODAS-Usager;XP18625;17/03/2016 10:02;17/03/2016 10:52;00:50:10
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;17/03/2016 10:01;17/03/2016 10:59;00:57:39
SRVMV-PDEP001;ArcCatalog 10.2.1;XP19415;17/03/2016 09:47;17/03/2016 09:47;00:00:02
SRVMV-PDEP001;ArcGIS Administrator;XP19415;17/03/2016 09:47;17/03/2016 09:47;00:00:04
SRVMV-PDEP001;ArcMap 10.2.1;XP19415;17/03/2016 09:47;17/03/2016 09:47;00:00:05
SRVMV-PDEP001;ArcMap 10.2.1;XP19415;17/03/2016 09:47;17/03/2016 09:47;00:00:05
SRVMV-SOCIAL001;IODAS-Usager;XP28201;17/03/2016 09:28;17/03/2016 09:50;00:21:30
SRVMV-PDEP001;Geomap;XP19415;17/03/2016 09:10;17/03/2016 09:47;00:36:50
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;17/03/2016 08:46;17/03/2016 09:17;00:31:06
SRVMV-SOCIAL001;IODAS-Usager;XP18625;17/03/2016 08:33;17/03/2016 09:58;01:25:10
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;16/03/2016 16:45;16/03/2016 17:04;00:18:24
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;16/03/2016 16:30;16/03/2016 16:45;00:15:09
SRVMV-COMMUN001;Microsoft Excel 2007;HTML5 Client;16/03/2016 16:03;16/03/2016 16:13;00:09:24
SRVMV-COMMUN001;Microsoft Powerpoint 2007;HTML5 Client;16/03/2016 16:03;16/03/2016 16:13;00:09:25
SRVMV-SOCIAL001;IODAS-Usager;XP18625;16/03/2016 16:01;16/03/2016 17:03;01:02:24
SRVMV-SOCIAL001;IODAS-Usager;XP18796;16/03/2016 14:55;16/03/2016 16:45;01:49:40
SRVMV-SOCIAL001;IODAS-Usager;XP18796;16/03/2016 14:25;16/03/2016 14:45;00:20:47
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;16/03/2016 14:17;16/03/2016 15:32;01:14:30
SRVMV-PDEP001;Abyla PROD;HU29956;16/03/2016 14:17;16/03/2016 14:21;00:03:14
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;16/03/2016 14:17;16/03/2016 15:38;01:21:19
SRVMV-PDEP001;Abyla PROD;SE29216;16/03/2016 13:44;16/03/2016 14:13;00:29:18
SRVMV-SOCIAL001;IODAS-Usager;XP18796;16/03/2016 13:43;16/03/2016 14:15;00:32:15
SRVMV-COMMUN001;SID Reporting;HU28897;16/03/2016 13:28;16/03/2016 13:28;00:00:22
SRVMV-LSCE001;Gironde Archive En Ligne;WY26875;16/03/2016 13:18;16/03/2016 16:45;03:27:05
SRVMV-SOCIAL001;IODAS-Usager;XP18625;16/03/2016 13:09;16/03/2016 15:56;02:47:15
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;16/03/2016 12:55;16/03/2016 13:44;00:48:59
SRVMV-SOCIAL001;IODAS-Usager;XP18796;16/03/2016 11:57;16/03/2016 12:23;00:26:09
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;16/03/2016 11:43;16/03/2016 12:23;00:40:28
SRVMV-SOCIAL001;IODAS-Usager;XP18625;16/03/2016 11:43;16/03/2016 12:34;00:51:35
SRVMV-SOCIAL001;IODAS-Usager;XP28201;16/03/2016 11:09;16/03/2016 12:25;01:15:37
SRVMV-COMMUN001;Microsoft Excel 2007;XP28201;16/03/2016 11:06;16/03/2016 11:06;00:00:47
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;16/03/2016 09:22;16/03/2016 09:57;00:34:48
SRVMV-SOCIAL001;IODAS-Usager;XP18796;16/03/2016 09:09;16/03/2016 09:57;00:48:00
SRVMV-SOCIAL001;IODAS-Environnement;XP18625;16/03/2016 08:36;16/03/2016 09:22;00:46:12
SRVMV-SOCIAL001;IODAS-Usager;XP18625;15/03/2016 17:06;15/03/2016 17:27;00:21:23
SRVMV-SOCIAL001;IODAS-Usager;XP18625;15/03/2016 16:34;15/03/2016 16:34;00:00:10
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;15/03/2016 16:30;15/03/2016 17:01;00:30:53
SRVMV-SOCIAL001;IODAS-Usager;XP18625;15/03/2016 16:28;15/03/2016 17:01;00:33:03
SRVMV-SOCIAL001;Epi Info;HTML5 Client;15/03/2016 16:14;15/03/2016 16:20;00:05:47
SRVMV-RCE-MEGA0;Mega;HTML5 Client;15/03/2016 15:43;15/03/2016 15:44;00:00:52
SRVMV-SOCIAL001;IODAS-Usager;XP18625;15/03/2016 15:10;15/03/2016 16:25;01:15:03
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;15/03/2016 15:04;15/03/2016 16:25;01:21:31
SRVMV-RCE-MEGA0;Mega;HTML5 Client;15/03/2016 14:48;15/03/2016 14:48;00:00:08
SRVMV-RCE-MEGA0;Mega;HTML5 Client;15/03/2016 14:46;15/03/2016 14:48;00:01:40
SRVMV-RCE-MEGA0;Mega;SE23458;15/03/2016 14:42;15/03/2016 14:46;00:04:05
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;15/03/2016 14:03;15/03/2016 14:38;00:34:29
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;15/03/2016 14:02;15/03/2016 17:01;02:59:52
SRVMV-SOCIAL001;IODAS-Usager;XP18796;15/03/2016 14:01;15/03/2016 17:01;03:00:24
